session,param,ratio,param_value,fixed_point_success,fixed_point_residual_rms,max_real_lambda,leading_lambda_imag,stability_margin,motor_loading_fraction,motor_loading_enrichment,motor_E_loading_fraction,motor_I_loading_fraction,contra_motor_loading_density,ipsi_motor_loading_density,bilateral_motor_loading_density,local_motor_block_max_real_lambda
baseline,w_EI,0.25,0.6146431275792773,True,1.952350745781835e-15,-9.648090183763735,0.0,9.648090183763735,0.150203778315838,1.0728841308274142,0.15020377403849597,0.1502057338530172,0.011022004721642262,0.010728841308263414,0.010875423014952838,-10.132377322812713
baseline,w_EI,0.3149802624737183,0.7744018146103515,True,1.981518732886871e-15,-9.880841932702685,0.0,9.880841932702685,0.15008439739710877,1.0720314099793482,0.1500843891904199,0.15008674196373267,0.01100609021244807,0.010720314099782764,0.010863202156115416,-10.355655293728416
baseline,w_EI,0.39685026299204984,0.975685147304369,True,2.110862163831873e-15,-10.163129557669656,0.0,10.163129557669656,0.14994127712682823,1.0710091223344873,0.14994126153774065,0.14994405564311708,0.010987291917164133,0.010710091223334162,0.010848691570249147,-10.626766792957755
baseline,w_EI,0.5,1.2292862551585546,True,2.010348815140893e-15,-10.503082586075985,0.0,10.503082586075985,0.14977132963474998,1.0697952116767855,0.14977130038032513,0.14977457668815916,0.010965346159903504,0.010697952116757156,0.01083164913833033,-10.953700153074218
baseline,w_EI,0.6299605249474366,1.548803629220703,True,2.825522369008579e-15,-10.909286260272783,0.0,10.909286260272783,0.14957167495211876,1.0683691068008483,0.14957162085537962,0.1495754065862364,0.010940053452705878,0.0106836910679978,0.01081187226035184,-11.344948364643468
baseline,w_EI,0.7937005259840998,1.9513702946087381,True,4.1584820042464074e-14,-11.390542700571785,0.0,11.390542700571785,0.14933986011167408,1.0667132865119575,0.14933976183750503,0.14934406397621655,0.010911302791385604,0.010667132865108911,0.010789217828247257,-11.809288992919363
baseline,w_EI,1.0,2.458572510317109,True,6.338308058564006e-13,-11.955592287245073,0.0,11.955592287245073,0.1490740832852629,1.0648148806090205,0.1490739085446995,0.1490787079361646,0.01087909015610865,0.010648148806079557,0.010763619481094104,-12.355520831468972
baseline,w_EI,1.2599210498948732,3.097607258441406,True,2.2922032906934543e-15,-12.61282371816545,0.0,12.61282371816545,0.14877339156692707,1.0626670826209075,0.14877308885566864,0.1487783363708301,0.01084352735516686,0.010626670826198448,0.010735099090682654,-12.992182390601275
baseline,w_EI,1.5874010519681994,3.902740589217476,True,2.376529730959107e-15,-13.370005224014164,0.0,13.370005224014164,0.1484378199417433,1.0602701424410235,0.1484373120617698,0.14844292812060492,0.01080483896992393,0.010602701424399629,0.010703770197161778,-13.727282162255829
baseline,w_EI,1.9999999999999998,4.9171450206342175,True,2.503932530789925e-15,-14.234066222458777,0.0,14.234066222458777,0.14806844520799384,1.0576317514856701,0.1480676263029632,0.14807350448250145,0.010763347475962226,0.010576317514846128,0.010669832495404177,-14.568069083983206
baseline,w_EI,2.5198420997897464,6.195214516882812,True,2.282705425022161e-15,-15.21094922004076,0.0,15.21094922004076,0.14766734124654093,1.054766723189578,0.1476660846177189,0.14767209916985832,0.010719448870289725,0.010547667231885232,0.01063355805108748,-15.520864228989135
baseline,w_EI,3.1748021039363983,7.805481178434951,True,3.6938067623509745e-14,-16.30553922844145,0.0,16.30553922844145,0.147237439965624,1.051695999754457,0.1472356253814932,0.1472416415357759,0.010673582873763807,0.010516959997534051,0.01059527143564893,-16.590964011362804
baseline,w_EI,4.0,9.834290041268437,True,2.6489327221737837e-15,-17.521666205304545,0.0,17.521666205304545,0.14678232524126242,1.0484451802947314,0.14677988646371057,0.14678577174051302,0.010626203103785472,0.010484451802936834,0.010555327453361154,-17.782614413030597
baseline,w_IE,0.25,0.7370521341282484,True,4.564191533516518e-15,-9.762240831278781,0.0,9.762240831278781,0.14923366984634534,1.0659547846167523,0.14922385521659196,0.14940358279193325,0.010904629289056805,0.010659547846156862,0.010782088567606835,-12.981141511842472
baseline,w_IE,0.3149802624737183,0.9286274986581197,True,6.130622992172693e-15,-10.903920361500479,0.0,10.903920361500479,0.14894441814029682,1.06388870100212,0.14893819135846836,0.14906153694424437,0.010873170153505519,0.010638887010010561,0.010756028581758042,-13.438630665351221
baseline,w_IE,0.39685026299204984,1.169997333070588,True,3.9100346369586155e-15,-11.765070077072153,0.0,11.765070077072153,0.14874018098673514,1.062429864190965,0.14873638882394002,0.1488173048288701,0.010849269437472336,0.01062429864189903,0.010736784039685685,-13.717243154844844
baseline,w_IE,0.5,1.4741042682564969,True,3.0134247747217296e-15,-12.311335772251889,0.0,12.311335772251889,0.1486486898907556,1.06177635636254,0.14864653149439142,0.1486959603682549,0.010836977305737518,0.010617763563614784,0.010727370434676151,-13.764487477706306
baseline,w_IE,0.6299605249474366,1.8572549973162393,True,2.4650545356677996e-15,-12.519127964498844,0.0,12.519127964498844,0.14867761845965397,1.0619829889975283,0.1486765086766827,0.1487036770793683,0.010837774212580214,0.01061982988996466,0.010728802051272437,-13.547803534129745
baseline,w_IE,0.7937005259840998,2.3399946661411763,True,4.1093552135852366e-15,-12.386449020993801,0.0,12.386449020993801,0.14882467666434476,1.0630334047453196,0.14882418513395923,0.14883698031305578,0.010852082261095951,0.010630334047442569,0.01074120815426926,-13.063177298514445
baseline,w_IE,1.0,2.9482085365129937,True,1.6072317902234802e-13,-11.955592287246022,0.0,11.955592287246022,0.1490740832852181,1.0648148806087006,0.14907390854465477,0.14907870793611963,0.010879090156106922,0.01064814880607636,0.01076361948109164,-12.355520831470162
